epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,4.16327,1.09914,2.09625,1.84408,0.14485,0.57182,0.83461,0.61023,0.40087,1.18456,1.29359,1.6566,0.15899,0.000540231,0.000540231,0.000540231
2,7.06199,0.79426,0.7621,1.34139,0.07852,0.90027,0.95146,0.92838,0.69505,1.0608,0.89492,1.43046,0.15393,0.00108505,0.00108505,0.00108505
3,9.85658,0.68167,0.56223,1.201,0.05814,0.89997,0.94859,0.92581,0.71181,1.1132,0.84172,1.45285,0.16663,0.00161886,0.00161886,0.00161886
4,12.6249,0.61132,0.48803,1.15069,0.04653,0.88559,0.94272,0.92735,0.70424,1.01917,0.78782,1.41009,0.12933,0.00161749,0.00161749,0.00161749
5,15.4517,0.58771,0.46406,1.12314,0.04256,0.87194,0.93678,0.92018,0.73229,1.01815,0.74711,1.41118,0.12119,0.00160099,0.00160099,0.00160099
6,18.3147,0.53245,0.42477,1.08649,0.03694,0.89638,0.92134,0.92918,0.70235,0.95789,0.72097,1.38029,0.12362,0.00158448,0.00158448,0.00158448
7,21.2361,0.4922,0.3923,1.06085,0.03242,0.89143,0.95035,0.91869,0.72558,0.94196,0.73094,1.38309,0.11285,0.00156798,0.00156798,0.00156798
8,24.1103,0.50911,0.39247,1.06334,0.0339,0.89341,0.94363,0.92248,0.74012,0.97787,0.72069,1.3928,0.10589,0.00155148,0.00155148,0.00155148
9,26.9759,0.48678,0.37788,1.0409,0.03203,0.89481,0.94947,0.9243,0.72017,0.91944,0.70811,1.33858,0.10708,0.00153497,0.00153497,0.00153497
10,29.8166,0.47059,0.36863,1.02779,0.03189,0.89096,0.94947,0.92624,0.73737,0.95094,0.71451,1.36306,0.11213,0.00151847,0.00151847,0.00151847
11,32.6475,0.44683,0.34855,1.00704,0.02737,0.88712,0.94694,0.91285,0.70265,0.93593,0.70173,1.36595,0.11733,0.00150197,0.00150197,0.00150197
12,35.3883,0.42078,0.33162,0.99634,0.02724,0.88752,0.90641,0.91688,0.74025,0.93845,0.70421,1.36084,0.10803,0.00148546,0.00148546,0.00148546
13,38.2262,0.43069,0.3337,0.9891,0.02872,0.88995,0.94122,0.92126,0.74923,0.98075,0.68622,1.40507,0.11895,0.00146896,0.00146896,0.00146896
14,41.0098,0.44636,0.33513,0.99898,0.02764,0.89393,0.93752,0.93135,0.75888,0.92703,0.65419,1.35122,0.1082,0.00145246,0.00145246,0.00145246
15,43.8721,0.4217,0.31909,0.98637,0.02655,0.88517,0.94625,0.92227,0.75402,0.90468,0.65057,1.34977,0.10035,0.00143595,0.00143595,0.00143595
16,46.7168,0.4078,0.31063,0.97511,0.02392,0.87801,0.95518,0.92306,0.73049,0.91962,0.66638,1.36083,0.11164,0.00141945,0.00141945,0.00141945
17,49.6004,0.39874,0.3075,0.96784,0.02472,0.89175,0.92996,0.92985,0.75543,0.93711,0.6675,1.385,0.10328,0.00140295,0.00140295,0.00140295
18,52.4043,0.3953,0.30462,0.96762,0.02451,0.88188,0.94475,0.91893,0.74701,0.97621,0.66768,1.4463,0.10992,0.00138644,0.00138644,0.00138644
19,55.2622,0.3896,0.29951,0.96064,0.02281,0.89671,0.94508,0.94131,0.77107,0.93328,0.6705,1.39871,0.102,0.00136994,0.00136994,0.00136994
20,58.1166,0.37659,0.2942,0.95648,0.02148,0.8913,0.94627,0.93579,0.75689,0.91839,0.68634,1.38702,0.1092,0.00135344,0.00135344,0.00135344
21,60.9058,0.3759,0.28924,0.96006,0.02064,0.89059,0.93805,0.91912,0.74722,0.90755,0.65513,1.37088,0.10394,0.00133693,0.00133693,0.00133693
22,63.7937,0.37377,0.2873,0.95805,0.02163,0.89352,0.93717,0.92568,0.76565,0.87699,0.64072,1.36314,0.09963,0.00132043,0.00132043,0.00132043
23,66.6771,0.38106,0.28785,0.9622,0.02312,0.88072,0.93893,0.91234,0.74242,0.90881,0.68511,1.39058,0.10096,0.00130393,0.00130393,0.00130393
24,69.546,0.37264,0.28277,0.95888,0.02248,0.88881,0.92575,0.92165,0.73367,0.96409,0.66744,1.4537,0.114,0.00128742,0.00128742,0.00128742
25,72.4942,0.37054,0.27972,0.95116,0.02168,0.88755,0.91213,0.9196,0.7541,0.93479,0.67333,1.39302,0.1189,0.00127092,0.00127092,0.00127092
26,75.3627,0.38394,0.28313,0.96124,0.02242,0.88159,0.9284,0.92345,0.75001,0.92937,0.68953,1.39872,0.11663,0.00125442,0.00125442,0.00125442
27,78.2423,0.36706,0.27271,0.95068,0.02232,0.86957,0.93541,0.92261,0.75178,0.91557,0.67488,1.37738,0.09282,0.00123791,0.00123791,0.00123791
28,81.0759,0.35239,0.26896,0.93941,0.02042,0.88444,0.92421,0.9236,0.75531,0.95075,0.66896,1.43524,0.11143,0.00122141,0.00122141,0.00122141
29,83.9167,0.35597,0.27148,0.94242,0.0207,0.87462,0.9275,0.92297,0.76061,0.98711,0.64811,1.47529,0.11948,0.00120491,0.00120491,0.00120491
