epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.40253,0.8316,1.69801,1.86135,0.98964,0,0.00778,0.99661,0.80531,0.58305,0.00769,0.98475,0.77797,0.50659,0.79923,2.13847,2.67711,0.97685,0,0.000652482,0.000652482,0.000652482
2,16.6124,0.74758,1.52913,1.01435,0.94005,0,0.92559,0.8644,0.94034,0.74163,0.902,0.84237,0.90299,0.59721,0.71719,1.85683,1.64634,0.91039,0,0.00130609,0.00130609,0.00130609
3,23.7521,0.74447,1.43384,0.87553,0.94617,0,0.83332,0.8339,0.8913,0.73203,0.82889,0.82107,0.87896,0.58825,0.70726,1.81673,1.01616,0.97318,0,0.0019465,0.0019465,0.0019465
4,30.8481,0.7034,1.34226,0.79383,0.93886,0,0.91491,0.94764,0.96648,0.81944,0.86383,0.87092,0.8717,0.6218,0.59853,1.85108,0.83046,0.89614,0,0.0019406,0.0019406,0.0019406
5,37.9446,0.68412,1.36534,0.72519,0.93696,0,0.92421,0.95932,0.96843,0.80939,0.91815,0.95254,0.95929,0.7075,0.61436,1.38684,0.59617,0.89975,0,0.0019208,0.0019208,0.0019208
6,45.0805,0.67538,1.3305,0.67482,0.92986,0,0.89171,0.95763,0.9657,0.84318,0.88783,0.95085,0.96067,0.68669,0.55595,1.42458,0.76751,0.87648,0,0.001901,0.001901,0.001901
7,52.1198,0.63339,1.2656,0.62299,0.91214,0,0.93404,0.94576,0.97504,0.84674,0.9307,0.94237,0.96892,0.75353,0.54265,1.15285,0.50413,0.86665,0,0.0018812,0.0018812,0.0018812
8,59.1651,0.62757,1.22236,0.58772,0.91208,0,0.93025,0.94941,0.977,0.84575,0.92195,0.94094,0.96335,0.77132,0.55696,1.20694,0.49235,0.86889,0,0.0018614,0.0018614,0.0018614
9,66.1894,0.64103,1.21957,0.57997,0.92275,0,0.9353,0.96949,0.97877,0.85677,0.9328,0.96463,0.97782,0.75777,0.5261,1.08688,0.50921,0.85524,0,0.0018416,0.0018416,0.0018416
10,73.2455,0.63317,1.22926,0.57742,0.92015,0,0.94698,0.95424,0.98068,0.86072,0.93689,0.94407,0.96758,0.77284,0.53753,1.08001,0.44726,0.87023,0,0.0018218,0.0018218,0.0018218
11,80.4228,0.60604,1.18033,0.52839,0.91105,0,0.92889,0.98305,0.97988,0.86449,0.9262,0.97119,0.97441,0.75464,0.51454,1.17985,0.44197,0.86053,0,0.001802,0.001802,0.001802
12,87.4666,0.60147,1.15847,0.50691,0.90326,0,0.93937,0.9716,0.98375,0.86823,0.93609,0.96821,0.98223,0.76888,0.50408,1.10599,0.48796,0.84758,0,0.0017822,0.0017822,0.0017822
13,94.4961,0.59433,1.13779,0.49045,0.9024,0,0.95643,0.96746,0.98412,0.871,0.94974,0.96088,0.97437,0.77915,0.5156,1.0955,0.38471,0.85536,0,0.0017624,0.0017624,0.0017624
14,101.537,0.58889,1.16166,0.49969,0.90079,0,0.96282,0.96559,0.98273,0.8722,0.95608,0.95919,0.97623,0.76917,0.50897,1.07485,0.37645,0.84834,0,0.0017426,0.0017426,0.0017426
15,108.552,0.56974,1.12946,0.47398,0.89092,0,0.9625,0.95718,0.98431,0.87863,0.9608,0.95549,0.98245,0.79568,0.49476,1.0262,0.36508,0.84528,0,0.0017228,0.0017228,0.0017228
16,115.568,0.58098,1.14035,0.47942,0.89899,0,0.9537,0.9776,0.98306,0.87537,0.94874,0.97252,0.97567,0.78374,0.49317,0.99809,0.36359,0.84134,0,0.001703,0.001703,0.001703
