epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1607,0.94693,1.37287,1.18454,0.99281,0.75839,0.78512,0.68788,1.0649,38.506,1.40978,0.000664523,0.000664523,0.000664523
2,44.1394,0.98221,0.83006,1.2068,0.99863,0.75839,0.76144,0.66934,0.95183,7.5653,1.20578,0.00131801,0.00131801,0.00131801
3,64.8756,0.97534,0.80031,1.20369,0.99942,0.75839,0.75622,0.64898,1.11346,3.55345,1.40198,0.0019583,0.0019583,0.0019583
4,85.6145,0.94869,0.77948,1.19808,0.99916,0.75839,0.7634,0.69472,0.89469,11.5859,1.14799,0.0019406,0.0019406,0.0019406
5,106.375,0.90828,0.725,1.1696,0.99643,0.75839,0.7583,0.68112,0.77675,15.9835,1.02812,0.0019208,0.0019208,0.0019208
6,127.117,0.90406,0.70213,1.16855,0.99932,0.75839,0.76587,0.68492,0.78303,3.24529,1.14239,0.001901,0.001901,0.001901
7,147.869,0.87837,0.677,1.15444,0.99943,0.75839,0.79638,0.78133,0.67325,3.29166,1.0458,0.0018812,0.0018812,0.0018812
8,168.53,0.86404,0.67064,1.15131,0.99925,0.75839,0.81056,0.76939,0.74474,2.4516,1.06964,0.0018614,0.0018614,0.0018614
9,189.305,0.8603,0.66771,1.1484,0.99936,0.75839,0.75889,0.75577,0.7057,13.6665,1.01435,0.0018416,0.0018416,0.0018416
10,210.177,0.85282,0.65412,1.15,0.99943,0.75839,0.79931,0.7769,0.61724,1.8615,0.92887,0.0018218,0.0018218,0.0018218
11,230.853,0.83979,0.64439,1.13379,0.99949,0.75839,0.82388,0.77611,0.65075,2.05763,0.96289,0.001802,0.001802,0.001802
12,251.574,0.82969,0.64792,1.13563,1,0.76477,0.84015,0.79578,0.75555,2.63143,1.04429,0.0017822,0.0017822,0.0017822
13,272.147,0.81943,0.63606,1.13221,0.99942,0.75839,0.85051,0.79624,0.71488,2.78328,1.04602,0.0017624,0.0017624,0.0017624
14,292.956,0.81013,0.60646,1.12459,0.99928,0.75839,0.79921,0.77394,0.687,2.44161,0.94561,0.0017426,0.0017426,0.0017426
15,314.036,0.80335,0.61887,1.11856,0.99915,0.75839,0.82674,0.78724,0.58527,2.95558,0.94141,0.0017228,0.0017228,0.0017228
16,334.905,0.79613,0.60853,1.11602,0.99947,0.75839,0.79891,0.783,0.61639,2.26463,0.9429,0.001703,0.001703,0.001703
17,355.774,0.78413,0.6132,1.10317,0.99709,0.75839,0.82424,0.80035,0.58209,3.28947,0.90707,0.0016832,0.0016832,0.0016832
18,376.576,0.79418,0.61254,1.11681,0.99948,0.75839,0.806,0.77738,0.63695,1.75715,0.95682,0.0016634,0.0016634,0.0016634
19,397.427,0.80649,0.60565,1.12268,0.99951,0.75839,0.84345,0.82383,0.62618,1.92528,0.90472,0.0016436,0.0016436,0.0016436
20,418.194,0.78371,0.59683,1.10351,0.99932,0.75839,0.84511,0.79713,0.66831,2.21417,0.99223,0.0016238,0.0016238,0.0016238
21,439.026,0.77639,0.5896,1.10204,1,0.76471,0.84615,0.81806,0.61098,1.70181,0.90309,0.001604,0.001604,0.001604
22,459.681,0.76984,0.58362,1.10225,0.99951,0.75839,0.82786,0.79454,0.55842,1.84014,0.95059,0.0015842,0.0015842,0.0015842
23,480.591,0.7707,0.58671,1.09849,1,0.76504,0.84981,0.8259,0.45094,1.79853,0.83962,0.0015644,0.0015644,0.0015644
24,501.353,0.77028,0.58633,1.10868,0.99942,0.75839,0.83647,0.81592,0.55196,2.09872,0.85975,0.0015446,0.0015446,0.0015446
25,522.037,0.77035,0.58469,1.10128,0.99944,0.75839,0.83293,0.80222,0.59506,2.02458,0.90674,0.0015248,0.0015248,0.0015248
26,542.97,0.76702,0.57522,1.09938,0.99947,0.75839,0.82906,0.80741,0.5135,2.24258,0.8457,0.001505,0.001505,0.001505
27,563.726,0.77098,0.58533,1.10899,1,0.76562,0.80147,0.78751,0.53318,12.3273,0.87409,0.0014852,0.0014852,0.0014852
28,584.467,0.75025,0.57311,1.09767,0.99901,0.75839,0.83845,0.81179,0.55363,1.57986,0.89573,0.0014654,0.0014654,0.0014654
29,605.103,0.76774,0.59066,1.1034,0.96672,0.81208,0.839,0.82746,0.56998,1.71264,0.84618,0.0014456,0.0014456,0.0014456
30,625.757,0.74643,0.56784,1.08932,0.97566,0.80725,0.85299,0.83481,0.54966,2.33708,0.82191,0.0014258,0.0014258,0.0014258
31,646.532,0.74965,0.56763,1.0927,0.96415,0.81208,0.85187,0.83408,0.51082,1.82686,0.80826,0.001406,0.001406,0.001406
